曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
月2,F06120 基盤数学（微分積分１） 小野 舞子〔2年次以上〕,小野　舞子,週間授業,2025年度春学期,2.0単位,1
月2,F06150 基盤数学（微分積分１） 平松 直哉,平松　直哉,週間授業,2025年度春学期,2.0単位,1
月2,F06180 基盤数学（微分積分２） 中川 重和,中川　重和,週間授業,2025年度秋学期,2.0単位,1
月2,F06200 基盤数学（微分積分２） 大熊 一正,大熊　一正,週間授業,2025年度秋学期,2.0単位,1
月2,F06210 基盤数学（微分積分２） 奥村 英則,奥村　英則,週間授業,2025年度秋学期,2.0単位,1
月2,F06250 基盤数学（微分積分２） 小野 舞子〔2年次以上〕,小野　舞子,週間授業,2025年度秋学期,2.0単位,1
月2,F06280 基盤数学（微分積分２） 平松 直哉,平松　直哉,週間授業,2025年度秋学期,2.0単位,1
月1,F06390 基盤物理学１ 村本 哲也,村本　哲也,週間授業,2025年度春学期,2.0単位,1
月1,F06391 物理学Ⅰ 村本 哲也,村本　哲也,週間授業,2025年度春学期,2.0単位,1
月1,F06410 基盤物理学１ 矢城 陽一朗,矢城　陽一朗,週間授業,2025年度春学期,2.0単位,1
月1,F06411 物理学Ⅰ 矢城 陽一朗,矢城　陽一朗,週間授業,2025年度春学期,2.0単位,1
月1,F06430 基盤物理学１ 稲垣 祐次,稲垣　祐次,週間授業,2025年度春学期,2.0単位,1
月1,F06431 物理学基礎論Ⅰ 稲垣 祐次,稲垣　祐次,週間授業,2025年度春学期,2.0単位,1
月1,F06450 基盤物理学１ 豊田 新,豊田　新,週間授業,2025年度春学期,2.0単位,1
月1,F06451 物理学基礎論Ⅰ 豊田 新,豊田　新,週間授業,2025年度春学期,2.0単位,1
月1,F06470 基盤物理学１ 重松 利信,重松　利信,週間授業,2025年度春学期,2.0単位,1
月1,F06471 物理学基礎論Ⅰ 重松 利信,重松　利信,週間授業,2025年度春学期,2.0単位,1
月1,F06490 基盤物理学２ 村本 哲也,村本　哲也,週間授業,2025年度秋学期,2.0単位,1
月1,F06491 物理学Ⅱ 村本 哲也,村本　哲也,週間授業,2025年度秋学期,2.0単位,1
月1,F06510 基盤物理学２ 矢城 陽一朗,矢城　陽一朗,週間授業,2025年度秋学期,2.0単位,1
月1,F06511 物理学Ⅱ 矢城 陽一朗,矢城　陽一朗,週間授業,2025年度秋学期,2.0単位,1
月1,F06530 基盤物理学２ 稲垣 祐次,稲垣　祐次,週間授業,2025年度秋学期,2.0単位,1
月1,F06531 物理学基礎論Ⅱ 稲垣 祐次,稲垣　祐次,週間授業,2025年度秋学期,2.0単位,1
月1,F06550 基盤物理学２ 豊田 新,豊田　新,週間授業,2025年度秋学期,2.0単位,1
月1,F06551 物理学基礎論Ⅱ 豊田 新,豊田　新,週間授業,2025年度秋学期,2.0単位,1
